# MUI 3.8 symbol inventory -- the oracle for scripts/check-mui38.py.
# Source: mui38dev.lha (MUI 3.8 developer archive, (c) 1993-1997 Stefan Stuntz),
#         sha256 8d28b0262fa6f43a9a8e114da368a9309256bbc2f99fa1c23d8e4c105d565722
# Regenerate: python3 scripts/check-mui38.py --gen-inventory <mui38-SDK-root> > scripts/mui38-symbols.tsv
# Columns: name<TAB>version-introduced<TAB>access-flags  ('-' = not annotated)
# MUI 3.8 is muimaster.library 19; its headers annotate nothing above V18.
MUIA_Popobject_Follow	7	isg
MUIA_Popobject_Light	7	isg
MUIA_Popobject_ObjStrHook	7	isg
MUIA_Popobject_Object	7	i.g
MUIA_Popobject_StrObjHook	7	isg
MUIA_Popobject_Volatile	7	isg
MUIA_Popobject_WindowHook	9	isg
MUIA_Popstring_Button	7	i.g
MUIA_Popstring_CloseHook	7	isg
MUIA_Popstring_OpenHook	7	isg
MUIA_Popstring_String	7	i.g
MUIA_Popstring_Toggle	7	isg
MUIA_Pressed	4	..g
MUIA_Prop_Entries	4	isg
MUIA_Prop_First	4	isg
MUIA_Prop_Horiz	4	i.g
MUIA_Prop_Slider	4	isg
MUIA_Prop_UseWinBorder	13	i..
MUIA_Prop_Visible	4	isg
MUIA_Radio_Active	4	isg
MUIA_Radio_Entries	4	i..
MUIA_Rectangle_BarTitle	11	i.g
MUIA_Rectangle_HBar	7	i.g
MUIA_Rectangle_VBar	7	i.g
MUIA_Register_Frame	7	i.g
MUIA_Register_Titles	7	i.g
MUIA_Revision	4	..g
MUIA_RightEdge	4	..g
MUIA_Scale_Horiz	4	isg
MUIA_Scrollbar_Type	11	i..
MUIA_Scrollgroup_Contents	4	i.g
MUIA_Scrollgroup_FreeHoriz	9	i..
MUIA_Scrollgroup_FreeVert	9	i..
MUIA_Scrollgroup_HorizBar	16	..g
MUIA_Scrollgroup_UseWinBorder	13	i..
MUIA_Scrollgroup_VertBar	16	..g
MUIA_Selected	4	isg
MUIA_ShortHelp	11	isg
MUIA_ShowMe	4	isg
MUIA_ShowSelState	4	i..
MUIA_Slider_Horiz	11	isg
MUIA_Slider_Level	4	isg
MUIA_Slider_Max	4	isg
MUIA_Slider_Min	4	isg
MUIA_Slider_Quiet	6	i..
MUIA_Slider_Reverse	4	isg
MUIA_String_Accept	4	isg
MUIA_String_Acknowledge	4	..g
MUIA_String_AdvanceOnCR	11	isg
MUIA_String_AttachedList	4	isg
MUIA_String_BufferPos	4	.sg
MUIA_String_Contents	4	isg
MUIA_String_DisplayPos	4	.sg
MUIA_String_EditHook	7	isg
MUIA_String_Format	4	i.g
MUIA_String_Integer	4	isg
MUIA_String_LonelyEditHook	11	isg
MUIA_String_MaxLen	4	i.g
MUIA_String_Reject	4	isg
MUIA_String_Secret	4	i.g
MUIA_Text_Contents	4	isg
MUIA_Text_HiChar	4	i..
MUIA_Text_PreParse	4	isg
MUIA_Text_SetMax	4	i..
MUIA_Text_SetMin	4	i..
MUIA_Text_SetVMax	11	i..
MUIA_Timer	4	..g
MUIA_TopEdge	4	..g
MUIA_Tron_PenSpec1	-	-
MUIA_Tron_PenSpec2	-	-
MUIA_Tron_PenSpecB	-	-
MUIA_Tron_Running	-	-
MUIA_Tron_Sample	-	-
MUIA_Tron_Speed	-	-
MUIA_UserData	4	isg
MUIA_Version	4	..g
MUIA_VertDisappear	11	isg
MUIA_VertWeight	4	isg
MUIA_Virtgroup_Height	6	..g
MUIA_Virtgroup_Input	11	i..
MUIA_Virtgroup_Left	6	isg
MUIA_Virtgroup_Top	6	isg
MUIA_Virtgroup_Width	6	..g
MUIA_Weight	4	i..
MUIA_Width	4	..g
MUIA_Window	4	..g
MUIA_WindowObject	4	..g
MUIA_Window_Activate	4	isg
MUIA_Window_ActiveObject	4	.sg
MUIA_Window_AltHeight	4	i.g
MUIA_Window_AltLeftEdge	4	i.g
MUIA_Window_AltTopEdge	4	i.g
MUIA_Window_AltWidth	4	i.g
MUIA_Window_AppWindow	5	i..
MUIA_Window_Backdrop	4	i..
MUIA_Window_Borderless	4	i..
MUIA_Window_CloseGadget	4	i..
MUIA_Window_CloseRequest	4	..g
MUIA_Window_DefaultObject	4	isg
MUIA_Window_DepthGadget	4	i..
MUIA_Window_DragBar	4	i..
MUIA_Window_FancyDrawing	8	isg
MUIA_Window_Height	4	i.g
MUIA_Window_ID	4	isg
MUIA_Window_InputEvent	4	..g
MUIA_Window_IsSubWindow	4	isg
MUIA_Window_LeftEdge	4	i.g
MUIA_Window_Menu	4	i..
MUIA_Window_MenuAction	8	isg
MUIA_Window_Menustrip	8	i.g
MUIA_Window_MouseObject	10	..g
MUIA_Window_NeedsMouseObject	10	i..
MUIA_Window_NoMenus	4	is.
MUIA_Window_Open	4	.sg
MUIA_Window_PublicScreen	6	isg
MUIA_Window_RefWindow	4	is.
MUIA_Window_RootObject	4	isg
MUIA_Window_Screen	4	isg
MUIA_Window_ScreenTitle	5	isg
MUIA_Window_SizeGadget	4	i..
MUIA_Window_SizeRight	4	i..
MUIA_Window_Sleep	4	.sg
MUIA_Window_Title	4	isg
MUIA_Window_TopEdge	4	i.g
MUIA_Window_UseBottomBorderScroller	13	isg
MUIA_Window_UseLeftBorderScroller	13	isg
MUIA_Window_UseRightBorderScroller	13	isg
MUIA_Window_Width	4	i.g
MUIA_Window_Window	4	..g
MUICFG_PublicScreen	-	-
MUICFG_Tron_Pen1	-	-
MUICFG_Tron_Pen2	-	-
MUICFG_Tron_PenB	-	-
MUICFG_Tron_Speed	-	-
MUIC_Aboutmui	-	-
MUIC_Application	-	-
MUIC_Applist	-	-
MUIC_Area	-	-
MUIC_Balance	-	-
MUIC_Bitmap	-	-
MUIC_Bodychunk	-	-
MUIC_Boopsi	-	-
MUIC_Cclist	-	-
MUIC_Coloradjust	-	-
MUIC_Colorfield	-	-
MUIC_Configdata	-	-
MUIC_Cycle	-	-
MUIC_Dataspace	-	-
MUIC_Dirlist	-	-
MUIC_Dtpic	-	-
MUIC_Family	-	-
MUIC_Floattext	-	-
MUIC_Frameadjust	-	-
MUIC_Framedisplay	-	-
MUIC_Gadget	-	-
MUIC_Gauge	-	-
MUIC_Group	-	-
MUIC_Image	-	-
MUIC_Imageadjust	-	-
MUIC_Imagedisplay	-	-
MUIC_Knob	-	-
MUIC_Levelmeter	-	-
MUIC_List	-	-
MUIC_Listview	-	-
MUIC_Mccprefs	-	-
MUIC_Menu	-	-
MUIC_Menuitem	-	-
MUIC_Menustrip	-	-
MUIC_Notify	-	-
MUIC_Numeric	-	-
MUIC_Numericbutton	-	-
MUIC_Palette	-	-
MUIC_Penadjust	-	-
MUIC_Pendisplay	-	-
MUIC_Popasl	-	-
MUIC_Popframe	-	-
MUIC_Popimage	-	-
MUIC_Poplist	-	-
MUIC_Popobject	-	-
MUIC_Poppen	-	-
MUIC_Popscreen	-	-
MUIC_Popstring	-	-
MUIC_Prop	-	-
MUIC_Radio	-	-
MUIC_Rectangle	-	-
MUIC_Register	-	-
MUIC_Scale	-	-
MUIC_Scrmodelist	-	-
MUIC_Scrollbar	-	-
MUIC_Scrollgroup	-	-
MUIC_Semaphore	-	-
MUIC_Settings	-	-
MUIC_Settingsgroup	-	-
MUIC_Slider	-	-
MUIC_String	-	-
MUIC_Text	-	-
MUIC_Tron	-	-
MUIC_TronP	-	-
MUIC_Virtgroup	-	-
MUIC_Volumelist	-	-
MUIC_Window	-	-
MUIE_InvalidWindowObject	-	-
MUIE_MissingLibrary	-	-
MUIE_NoARexx	-	-
MUIE_OK	-	-
MUIE_OutOfGfxMemory	-	-
MUIE_OutOfMemory	-	-
MUIE_SingleTask	-	-
MUIIHNF_TIMER	-	-
MUII_ArrowDown	-	-
MUII_ArrowLeft	-	-
MUII_ArrowRight	-	-
MUII_ArrowUp	-	-
MUII_Assign	-	-
MUII_BACKGROUND	-	-
MUII_ButtonBack	-	-
MUII_CheckMark	-	-
MUII_Chip	-	-
MUII_Count	-	-
MUII_Cycle	-	-
MUII_Disk	-	-
MUII_Drawer	-	-
MUII_FILL	-	-
MUII_FILLBACK	-	-
MUII_FILLBACK2	-	-
MUII_FILLSHINE	-	-
MUII_GroupBack	-	-
MUII_HSHADOWBACK	-	-
MUII_HSHADOWSHADOW	-	-
MUII_HSHINEBACK	-	-
MUII_HSHINESHINE	-	-
MUII_HardDisk	-	-
MUII_LASTPAT	-	-
MUII_ListBack	-	-
MUII_ListCursor	-	-
MUII_ListSelCur	-	-
MUII_ListSelect	-	-
MUII_MARKBACKGROUND	-	-
MUII_MARKHALFSHINE	-	-
MUII_MARKSHINE	-	-
MUII_Network	-	-
MUII_PageBack	-	-
MUII_PopDrawer	-	-
MUII_PopFile	-	-
MUII_PopUp	-	-
MUII_PopupBack	-	-
MUII_PropBack	-	-
MUII_PropKnob	-	-
MUII_RadioButton	-	-
MUII_ReadListBack	-	-
MUII_RegisterBack	-	-
MUII_RequesterBack	-	-
MUII_SHADOW	-	-
MUII_SHADOWBACK	-	-
MUII_SHADOWFILL	-	-
MUII_SHADOWSHINE	-	-
MUII_SHINE	-	-
MUII_SHINEBACK	-	-
MUII_SelectedBack	-	-
MUII_SliderBack	-	-
MUII_SliderKnob	-	-
MUII_TapeDown	-	-
MUII_TapePause	-	-
MUII_TapePlay	-	-
MUII_TapePlayBack	-	-
MUII_TapeRecord	-	-
MUII_TapeStop	-	-
MUII_TapeUp	-	-
MUII_TextBack	-	-
MUII_Volume	-	-
MUII_WindowBack	-	-
MUIKEYF_BOTTOM	-	-
MUIKEYF_DOWN	-	-
MUIKEYF_GADGET_NEXT	-	-
MUIKEYF_GADGET_OFF	-	-
MUIKEYF_GADGET_PREV	-	-
MUIKEYF_HELP	-	-
MUIKEYF_LEFT	-	-
MUIKEYF_LINEEND	-	-
MUIKEYF_LINESTART	-	-
MUIKEYF_PAGEDOWN	-	-
MUIKEYF_PAGEUP	-	-
MUIKEYF_POPUP	-	-
MUIKEYF_PRESS	-	-
MUIKEYF_RIGHT	-	-
MUIKEYF_TOGGLE	-	-
MUIKEYF_TOP	-	-
MUIKEYF_UP	-	-
MUIKEYF_WINDOW_CLOSE	-	-
MUIKEYF_WINDOW_NEXT	-	-
MUIKEYF_WINDOW_PREV	-	-
MUIKEYF_WORDLEFT	-	-
MUIKEYF_WORDRIGHT	-	-
MUILM_LAYOUT	-	-
MUILM_MINMAX	-	-
MUILM_UNKNOWN	-	-
MUIMASTER_NAME	-	-
MUIMASTER_VLATEST	-	-
MUIMASTER_VMIN	-	-
MUIMRI_RECTFILL	-	-
MUIMRI_REFRESHMODE	-	-
MUIMRI_THINFRAMES	-	-
MUIMRI_TRUECOLOR	-	-
MUIM_Application_AboutMUI	14	-
MUIM_Application_AddInputHandler	11	-
MUIM_Application_CheckRefresh	11	-
MUIM_Application_GetMenuCheck	4	-
MUIM_Application_GetMenuState	4	-
MUIM_Application_Input	4	-
MUIM_Application_InputBuffered	4	-
MUIM_Application_Load	4	-
MUIM_Application_NewInput	11	-
MUIM_Application_OpenConfigWindow	11	-
MUIM_Application_PushMethod	4	-
MUIM_Application_RemInputHandler	11	-
MUIM_Application_ReturnID	4	-
MUIM_Application_Save	4	-
MUIM_Application_SetConfigItem	11	-
MUIM_Application_SetMenuCheck	4	-
MUIM_Application_SetMenuState	4	-
MUIM_Application_ShowHelp	4	-
MUIM_AskMinMax	4	-
MUIM_BoopsiQuery	-	-
MUIM_CallHook	4	-
MUIM_Cleanup	4	-
MUIM_ColorEdit_GetColors	-	-
MUIM_ColorEdit_SetColors	-	-
MUIM_ContextMenuBuild	11	-
MUIM_ContextMenuChoice	11	-
MUIM_CreateBubble	18	-
MUIM_CreateShortHelp	11	-
MUIM_Dataspace_Add	11	-
MUIM_Dataspace_Clear	11	-
MUIM_Dataspace_Find	11	-
MUIM_Dataspace_Merge	11	-
MUIM_Dataspace_ReadIFF	11	-
MUIM_Dataspace_Remove	11	-
MUIM_Dataspace_WriteIFF	11	-
MUIM_DeleteBubble	18	-
MUIM_DeleteShortHelp	11	-
MUIM_Dirlist_ReRead	4	-
MUIM_DispIDlist_Change	-	-
MUIM_DragBegin	11	-
MUIM_DragDrop	11	-
MUIM_DragFinish	11	-
MUIM_DragQuery	11	-
MUIM_DragReport	11	-
MUIM_Draw	4	-
MUIM_DrawBackground	11	-
MUIM_EditPanel_DefColors	-	-
MUIM_EditPanel_GetScreen	-	-
MUIM_EditPanel_SetScreen	-	-
MUIM_EditPanel_ToggleForeign	-	-
MUIM_EditPanel_Update	-	-
MUIM_EditWindow_Close	-	-
MUIM_Export	12	-
MUIM_Family_AddHead	8	-
MUIM_Family_AddTail	8	-
MUIM_Family_Insert	8	-
MUIM_Family_Remove	8	-
MUIM_Family_Sort	8	-
MUIM_Family_Transfer	8	-
MUIM_FindUData	8	-
MUIM_GetConfigItem	11	-
MUIM_GetUData	8	-
MUIM_Group_ExitChange	11	-
MUIM_Group_InitChange	11	-
MUIM_Group_Sort	4	-
MUIM_HandleEvent	16	-
MUIM_HandleInput	4	-
MUIM_Hide	4	-
MUIM_Import	12	-
MUIM_KillNotify	4	-
MUIM_KillNotifyObj	16	-
MUIM_List_Clear	4	-
MUIM_List_CreateImage	11	-
MUIM_List_DeleteImage	11	-
MUIM_List_Exchange	4	-
MUIM_List_GetEntry	4	-
MUIM_List_Insert	4	-
MUIM_List_InsertSingle	7	-
MUIM_List_Jump	4	-
MUIM_List_Move	9	-
MUIM_List_NextSelected	6	-
MUIM_List_Redraw	4	-
MUIM_List_Remove	4	-
MUIM_List_Select	4	-
MUIM_List_Sort	4	-
MUIM_List_TestPos	11	-
MUIM_MainWindow_About	-	-
MUIM_MainWindow_Finish	-	-
MUIM_MainWindow_Open	-	-
MUIM_MainWindow_Restore	-	-
MUIM_MainWindow_SaveAs	-	-
MUIM_MultiSet	7	-
MUIM_NoNotifySet	9	-
MUIM_Notify	4	-
MUIM_Numeric_Decrease	11	-
MUIM_Numeric_Increase	11	-
MUIM_Numeric_ScaleToValue	11	-
MUIM_Numeric_SetDefault	11	-
MUIM_Numeric_Stringify	11	-
MUIM_Numeric_ValueToScale	11	-
MUIM_Pendisplay_SetColormap	13	-
MUIM_Pendisplay_SetMUIPen	13	-
MUIM_Pendisplay_SetRGB	13	-
MUIM_Popstring_Close	7	-
MUIM_Popstring_Open	7	-
MUIM_Prop_Decrease	16	-
MUIM_Prop_Increase	16	-
